	index	sentence	origin	lang
0	0	"It has title of ""Raining Soochow"""	104	en
1	1	"It has title of ""Glow In the Dark"""	106	en
2	5	and a family (in the background)	131	en
3	6	It has title of Goldfishes	131	en
4	7	It has title of Tetrahedral shadow and rockery	132	en
5	8	It has title of Scene in a Circle in a Circle	135	en
6	9	It has title of A streetlamp in SIP	137	en
7	10	It has title of The classic Soochow-style brunch	138	en
8	11	It has tags of chenyang, suzhou, jiangsu, peoplesrepublicofchina	349	en
9	12	It has tags of suzhou, jiangsu, peoplesrepublicofchina, chenyang	350	en
10	13	The Canglang Pavilion (沧浪亭), variously translated as the Great Wave Pavilion, Surging Wave Pavilion, or Blue Wave Pavilion, is one of the Classical Gardens of Suzhou that are jointly recognized as a UNESCO World Heritage Site	361	en
11	14	It is located at 3 Canglangting Street in Suzhou, Jiangsu province, China	361	en
12	16	The Master of the Nets Garden (Chinese: 网师园) in Suzhou is among the finest gardens in China	363	en
13	17	It is recognized with other classical Suzhou gardens as a UNESCO World Heritage Site	363	en
14	18	The garden demonstrates Chinese garden designers' adept skills for synthesizing art, nature, and architecture to create unique metaphysical masterpieces	363	en
15	19	The Master of the Nets is particularly regarded among garden connoisseurs for its mastering the techniques of relative dimension, contrast, foil, sequence and depth, and borrowed scenery	363	en
16	21	It has title of Master of the Nets Garden 网师园	363	en
17	22	The Master of the Nets Garden (Chinese: 网师园) in Suzhou is among the finest gardens in China	364	en
18	23	It is recognized with other classical Suzhou gardens as a UNESCO World Heritage Site	364	en
19	24	The garden demonstrates Chinese garden designers' adept skills for synthesizing art, nature, and architecture to create unique metaphysical masterpieces	364	en
20	25	The Master of the Nets is particularly regarded among garden connoisseurs for its mastering the techniques of relative dimension, contrast, foil, sequence and depth, and borrowed scenery	364	en
21	27	It has title of Master of the Nets Garden 网师园	364	en
22	28	The Canglang Pavilion (沧浪亭), variously translated as the Great Wave Pavilion, Surging Wave Pavilion, or Blue Wave Pavilion, is one of the Classical Gardens of Suzhou that are jointly recognized as a UNESCO World Heritage Site	370	en
23	29	It is located at 3 Canglangting Street in Suzhou, Jiangsu province, China	370	en
24	31	With the Lunar New Year of the Ox incoming in less than a month, it is a good time to slow down our thoughts and give ourselves a brief moment for reflection.	395	en
25	32	It has title of A moment of reflection	395	en
26	33	It has tags of asian, people, b, street, asia, reflection, sepia, water, w, city, administrators, december, bw, mono, garden, humble, chinese, peoples, monochrome, suzhou, photography, republic, black, china, prc, white, jiangsu, peoplesrepublicofchina	395	en
27	34	Suzhou, with its many canals and bridges, is often nicknamed the .Venice of the East	397	en
28	35	(although many other cities often also claim this title as well)	397	en
29	36	Being very close to Shanghai has allowed it to become of the fastest growing cities in Mainland China	397	en
30	37	It is also a popular tourist destination with its many UNESCO sites and attractions, such as this one near Tiger Hill.	397	en
31	38	It has title of Reflections of Suzhou	397	en
32	39	It has tags of jiangsu, december, building, asia, east, water, city, venice, photography, hill, province, landscape, canal, chinese, peoples, suzhou, river, tiger, house, shanghai, asian, republic, prc, china, peoplesrepublicofchina	397	en
33	40	It has tags of wpdpeople	399	en
34	41	The Humble Administrator's Garden in Suzhou is one of four Chinese gardens in Suzhou that have attained UNESCO World Heritage Site status, and the most famous and visited among them	502	en
35	42	Its beautiful gardens and huge size makes it a good place to walk an afternoon stroll.	502	en
36	43	It has title of Reflections at The Humble Administrator's Garden	502	en
37	44	It has tags of december, asia, reflection, city, administrators, garden, humble, chinese, peoples, suzhou, water, photography, asian, republic, prc, china, jiangsu, peoplesrepublicofchina	502	en
38	45	The best time to take a stroll would be in autumn time, when the weather is cool and not humid, and the leaves are starting to turn red or orange and shredding before winter sets in.	503	en
39	46	It has title of The colours of Autumn	503	en
40	47	It has tags of jiangsu, december, landscape, asia, tiger, water, autumn, city, venice, building, hill, province, house, east, canal, chinese, peoples, shanghai, suzhou, river, photography, asian, republic, prc, china, peoplesrepublicofchina	503	en
41	48	A moon gate is a traditional architectural element in Chinese gardens	504	en
42	49	These circular openings represent symbolically the heaven and perfection in Chinese culture	504	en
43	50	This moon gate leads to a courtyard in the Lion Grove Garden, one of the classical gardens in Suzhou.	504	en
44	51	It has title of China, Suzhou - Through a moon gate - July 2010	504	en
45	52	It has tags of china, suzhou, moon, gate, garden, boy, fan, round, traditional, circular, opening, wall, passageway, architecture, architectural, young, door, shui, feng, lion, grove, forest	504	en
46	53	It has title of Suzhou, Soochow University	523	en
47	54	It has title of In Suzhou	529	en
48	55	It has tags of suzhou, china, street, jiangsu, peoplesrepublicofchina	550	en
49	56	Architect - I.M	613	en
50	57	It has title of Suzhou Museum main hall ceiling	613	en
51	58	It has tags of museum, geometry, symmetry, impei, china, suzhou, modernist, ceiling	613	en
52	59	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	614	en
53	60	It has tags of mirror, mind, art, shouzuo, china, streetphoto, bw, iphonex	621	en
54	61	Suzhou, with its many canals and bridges, is often nicknamed the .Venice of the East	632	en
55	62	(although many other cities often also claim this title as well)	632	en
56	63	Being very close to Shanghai has allowed it to become of the fastest growing cities in Mainland China	632	en
57	64	It is also a popular tourist destination with its many UNESCO sites and attractions, such as this one near Tiger Hill.	632	en
58	65	It has title of The many canals of Suzhou	632	en
59	66	It has tags of jiangsu, december, building, asia, east, water, city, venice, photography, hill, province, landscape, canal, chinese, peoples, suzhou, river, tiger, house, shanghai, asian, republic, prc, china, peoplesrepublicofchina	632	en
60	67	The modern Chinese woman is one that is confident with herself and able to blend into the modern era with ease, yet able to still dress in style like the well known Shanghai beauties of the 1930s.	641	en
61	68	It has title of The modern Chinese woman	641	en
62	69	It has tags of jiangsu, december, asia, east, street, people, city, beauty, lady, modern, shanghai, chinese, peoples, confident, suzhou, woman, photography, asian, republic, prc, china, peoplesrepublicofchina, beautiful, mainland	641	en
63	70	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	646	en
64	71	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	647	en
65	72	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	648	en
66	73	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	649	en
67	74	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	650	en
68	75	It has tags of china, classicalgardens, garden, jiangsu, masterofthenets, suzhou, unescoworldheritage, w, peoplesrepublicofchina	651	en
69	76	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	653	en
70	77	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	654	en
71	78	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	655	en
72	79	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	656	en
73	80	It has tags of china, classicalgardens, garden, jiangsu, masterofthenets, suzhou, unescoworldheritage, w, peoplesrepublicofchina	657	en
74	81	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	658	en
75	82	It has tags of china, classicalgardens, garden, jiangsu, suzhou, unescoworldheritage, peoplesrepublicofchina	659	en
76	83	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	660	en
77	84	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	677	en
78	85	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	678	en
79	86	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	679	en
80	87	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	680	en
81	88	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	681	en
82	89	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	682	en
83	90	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	683	en
84	91	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	684	en
85	92	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	685	en
86	93	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	686	en
87	94	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	687	en
88	95	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	688	en
89	96	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	689	en
90	97	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	692	en
91	98	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	695	en
92	99	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	696	en
93	100	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	698	en
94	101	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	700	en
95	102	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	701	en
96	103	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	703	en
97	104	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	705	en
98	105	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	711	en
99	106	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	712	en
100	107	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	713	en
101	108	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	714	en
102	109	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	715	en
103	110	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	716	en
104	111	It has tags of china, garden, jiangsu, keyuan, suzhou, peoplesrepublicofchina	717	en
105	112	It has tags of china, garden, humbleadministratorgarden, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	718	en
106	113	It has tags of china, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	719	en
107	114	It has tags of china, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	720	en
108	115	It has tags of china, garden, humbleadministratorgarden, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	721	en
109	116	It has tags of china, garden, humbleadministratorgarden, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	722	en
110	117	It has tags of china, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	723	en
111	118	It has tags of china, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	724	en
112	119	It has tags of china, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	725	en
113	120	It has tags of china, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	726	en
114	121	It has tags of china, jiangsu, museum, suzhou, unescoworldheritage, suzhoushi, jiangsusheng	727	en
115	122	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	728	en
116	123	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	729	en
117	124	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	730	en
118	125	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	731	en
119	126	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	732	en
120	127	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	733	en
121	128	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	734	en
122	129	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	735	en
123	130	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	736	en
124	131	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	737	en
125	132	It has tags of canglang, china, classicalgardens, c, garden, greatwave, jiangsu, pavilion, suzhou, unescoworldheritage, peoplesrepublicofchina	738	en
126	133	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	754	en
127	134	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	755	en
128	135	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	756	en
129	136	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	757	en
130	137	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	758	en
131	138	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	759	en
132	139	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	760	en
133	140	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	762	en
134	141	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	763	en
135	142	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	764	en
136	143	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	765	en
137	144	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	766	en
138	145	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	767	en
139	146	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	768	en
140	147	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	770	en
141	148	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	771	en
142	149	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	772	en
143	150	It has tags of china, classicalgardens, garden, jiangsu, liongrove, sh, suzhou, unescoworldheritage, peoplesrepublicofchina	773	en
144	151	It has tags of china, jiangsu, north, pagoda, suzhou, temple, peoplesrepublicofchina	774	en
145	152	It has tags of china, jiangsu, north, pagoda, suzhou, temple, peoplesrepublicofchina	775	en
146	153	It has tags of china, jiangsu, pingjiang, suzhou, peoplesrepublicofchina	776	en
147	154	It has tags of china, garden, jiangsu, keyuan, suzhou, peoplesrepublicofchina	779	en
148	155	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	781	en
149	156	It has tags of china, classicalgardens, garden, jiangsu, lingering, li, suzhou, unescoworldheritage, peoplesrepublicofchina	783	en
150	157	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	784	en
151	158	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	785	en
152	159	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	786	en
153	160	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	787	en
154	161	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	788	en
155	162	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	789	en
156	163	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	790	en
157	164	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	791	en
158	165	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	792	en
159	166	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	793	en
160	167	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	794	en
161	168	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	795	en
162	169	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	796	en
163	170	It has tags of administrator, china, classicalgardens, garden, humble, jiangsu, suzhou, unescoworldheritage, zhu, suzhoushi, jiangsusheng	797	en
164	171	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	798	en
165	172	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	799	en
166	173	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	800	en
167	174	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	801	en
168	175	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	802	en
169	176	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	803	en
170	177	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	804	en
171	178	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	805	en
172	179	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	806	en
173	180	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	807	en
174	181	It has tags of china, classicalgardens, couple, garden, jiangsu, retreat, suzhou, unescoworldheritage, peoplesrepublicofchina	808	en
175	183	It has title of Having Fun with Cousine	818	en
176	184	It has tags of lotus, jiangsu, suzhou, peoplesrepublicofchina	819	en
177	185	- Old Suzhou town is linked with numerous canals and waterways	895	en
178	186	On these waterways are a lot of boats, these days tourist sightseeing boats like this.	895	en
179	188	It has tags of suzhou, china, shantang, canal, waterway, water, boat, trees, house, decoration, tourists, street, traditional, town	895	en
180	189	- A view of the touristy Shantang street and canal in old Suzhou, with traditional houses and bridge	896	en
181	190	Lost of tourists here as well as many tour boats.	896	en
182	192	It has tags of suzhou, china, shantang, canal, waterway, water, boats, trees, house, decoration, people, tourists, busy, shops, street, candid	896	en
183	193	- A lot of people can do the proper squat in China and these days this position is often seen combined with a phone in hand	897	en
184	194	It's a blend of the traditional with the new.	897	en
185	196	It has tags of suzhou, china, city, house, chinese, urban, scooters, electric, lanterns, man, walking, squat, mobile, phone, street, people, candid	897	en
186	197	- A fruit merchant's fruit stand	900	en
187	198	Looks like a big crop of cherries	900	en
188	199	Note the QR codes, that's how people pay in China.	900	en
189	201	It has tags of suzhou, china, chinese, merchant, fruit, shop, cherries, stand, man, qrcode, street, people, candid	900	en
190	202	- Doing some street photography in China and caught this fella on his electric scooter	901	en
191	203	He gave me that look sometimes you get when people see you catching them on camera.	901	en
192	205	It has tags of suzhou, china, city, building, house, chinese, urban, scooter, electric, lanterns, man, street, people, candid	901	en
193	261	- This is a touristy old street with lots of touristy shops	1018	en
194	262	All along the street are these lanterns, the text has the name of the street: Shantang.	1018	en
195	263	It has tags of suzhou, china, shantang, street, house, decoration, shops, lantern, chinese, red	1018	en
196	264	It has tags of china, suzhou, jiangsu, building, trees, park, colors, colours	1139	en
197	265	It has tags of asteraceae, chrysanthemum, magnoliophyta, magnoliopsida, angiospermes, architectural, architecture, dicots, dicotyl, ecology, ecosystem, environment, environmentalism, floweringplants, gardens, land, landscape, landscaping, nature, phan, plantes, plantes, plants, rock, rocks, scenery, structures, sunflowers, tree, suzhou, jiangsu, china	1140	en
198	267	It has tags of red, shanghai, suzhou, china	1144	en
199	268	The Gate to the Orient building looking like a pair of trousers on the west bank of beautiful Jinji Lake viewed through an unusual and interesting piece of artwork in downtown Suzhou.	1172	en
200	269	It has title of The 'Pants' building through an interesting piece of artwork	1172	en
201	270	The weird pants like building trend that has been popular in China for many years	1174	en
202	271	It has title of Suzhou Industrial Park: Gate of the East Shopping Mall	1174	en
203	273	With the traditional typical three entrances	1243	en
204	274	It has title of Paifang Gate Suzhou	1243	en
205	275	It has title of Pagoda on the banks of the Grand Canal, Suzhou	1244	en
206	276	The Humble Administrator's Garden, Suzhou, China	1315	en
207	277	It has title of Over the Roof	1315	en
208	278	It has tags of architectural, architecture, building, buildingmaterial, buildingmaterials, clayproducts, constructionmaterial, ecology, ecosystem, edifice, edifices, environment, environmentalism, nature, pavilion, plants, pond, recreationbuilding, recreationbuildings, rooftile, scenery, structures, tree, water, suzhou, jiangsu, china	1315	en
209	279	The Humble Administrator's Garden, Suzhou, China	1316	en
210	280	It has tags of architectural, architecture, building, edifice, edifices, furniture, home, householdobjects, residence, residentialbuilding, rooms, structures, thing, things, suzhou, jiangsu, china	1316	en
211	316	It has title of Suzhou Panmen Scenic Area.	1475	en
212	317	It has tags of harryandrowenaphotos, mercurytours, china	1475	en
213	318	It has title of Suzhou Panmen Scenic Area	1476	en
214	319	White Holy Ox Which Helped With Construction Of Pagoda	1476	en
215	320	It Died Soon After Completion So Locals Paid For This Memorial 1100A.D.	1476	en
216	321	It has tags of harryandrowenaphotos, mercurytours, china	1476	en
217	322	It has title of Suzhou Panmen Scenic Area	1477	en
218	323	Lovely Traditional Pebble Mosaic	1477	en
219	324	It has tags of harryandrowenaphotos, mercurytours, china	1477	en
220	325	It has title of Suzhou Panmen Scenic Area	1480	en
221	326	Walk To Panmen City Gate	1480	en
222	327	It has tags of harryandrowenaphotos, mercurytours, china	1480	en
223	328	It has title of Suzhou Panmen Scenic Area	1481	en
224	329	It has tags of harryandrowenaphotos, mercurytours, china	1481	en
